,Title,Channel,Published At,View Count,Like Count,Comment Count,Like Ratio,Comment Ratio
102,Full SummerSlam 2024 highlights,WWE,2024-08-04,3992970,91986,4069,0.02303698750554099,0.0010190409644951002
103,MURDER DRONES Series Finale [TRAILER],GLITCH,2024-08-02,2623240,244734,25723,0.09329455177566673,0.009805812659154329
104,Jelly Roll - Liar (Official Music Video),Jelly Roll,2024-08-02,840447,43244,2173,0.05145357173028162,0.0025855288911733874
105,"Character Teaser - ""Emilie: Testimony"" | Genshin Impact #Character #Teaser #Emilie #Testimony",Genshin Impact,2024-08-05,606836,48655,1998,0.08017817004923901,0.003292487591375594
106,Noah Lyles WINS GOLD in Men's 100M in PHOTO FINISH I CBS Sports,CBS Sports,2024-08-04,662344,3317,806,0.005007971688427765,0.0012168903168142235
107,"15 Years on YouTube & Big Family BBQ! Ft Marcus, Joe, Caspar, Jim & Tanya",Alfie Deyes Vlogs,2024-08-04,255953,13069,250,0.05106015557543768,0.000976741823694194
108,"B.G.  -  ""HANDS UP"" (official Music Video)",B.G.,2024-08-02,375185,22396,3443,0.059693218012447195,0.009176806108986234
109,I Admit... I Got Owned,Rick Beato,2024-08-02,1729225,99670,6769,0.05763853749512065,0.003914470355216932
110,Nessa Barrett - PASSENGER PRINCESS (Official Music Video),Nessa Barrett,2024-08-01,1704628,56655,2378,0.03323599049176712,0.0013950257768850446
111,Houston Texans vs. Chicago Bears Highlights | 2024 Hall of Fame Game,NFL,2024-08-02,912006,11555,1691,0.012669872785924654,0.001854154468282007
112,It's Clash Anime Season! Happy 12th Clashiversary!,Clash of Clans,2024-08-01,5441916,175196,7148,0.03219380821019656,0.0013135079630042065
113,The LOX: Tiny Desk Concert,NPR Music,2024-08-02,972613,63228,6434,0.06500838462985792,0.006615169651238468
114,Papa Roach & Carrie Underwood - Leave A Light On (Talk Away The Dark),Papa Roach,2024-08-02,785726,32151,1222,0.04091884448268226,0.0015552495399159504
115,This Hurricane Will Surprise People…,"Ryan Hall, Y'all",2024-08-04,491264,27795,993,0.05657854025534132,0.002021316440854612
116,FIGHT HIGHLIGHTS | Riyadh Season Card: Andy Ruiz vs. Jarrell Miller,DAZN Boxing,2024-08-04,1140389,9705,1999,0.008510253957202323,0.0017529106296184898
117,HIGHLIGHTS: Liverpool 3-0 Manchester United | Sell-out crowd for USA Tour win,Liverpool FC,2024-08-04,2141597,35775,1660,0.016704823549902246,0.0007751224903658345
118,Chad Smith Hears Bring Me The Horizon For The First Time,Drumeo,2024-08-02,1822819,88036,6123,0.048296621880724304,0.003359082827203359
119,I Built a Lethal Boomerang,Mike Shake,2024-08-02,1164997,45567,2220,0.03911340544224577,0.0019055843062256812
120,Tay B x Lil Baby - ALL TEN (Official Music Video),Tay B,2024-08-02,891896,22165,822,0.024851552198911084,0.0009216321185429691
